,overall_rank,country,score,gdp_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,perceptions_of_corruption,year,continent
99,100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018,Europe
100,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018,Asia
101,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018,South America
102,103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2018,Africa
103,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018,Africa
104,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018,Africa
105,106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,2018,Asia
106,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018,Africa
107,108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018,Africa
108,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2018,Africa
109,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018,Asia
110,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018,Africa
111,112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018,Europe
112,113,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,2018,Africa
113,114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018,Europe
114,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018,Asia
115,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018,Asia
116,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,2018,Asia
117,118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2018,Africa
118,119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,2018,Africa
119,120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018,Asia
120,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018,Africa
121,122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018,Africa
122,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018,Africa
123,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,2018,Africa
124,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,2018,Africa
125,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018,Africa
126,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018,Africa
127,128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018,Asia
128,129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,2018,Asia
129,130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,2018,Asia
130,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018,Africa
131,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,2018,Africa
132,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,2018,Asia
133,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018,Africa
134,135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,2018,Africa
135,136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2018,Africa
136,137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,2018,Africa
137,138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,2018,Europe
138,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2018,Africa
139,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018,Africa
140,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018,Africa
141,142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,2018,Africa
142,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,2018,Africa
143,144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,2018,Africa
144,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2018,Asia
145,146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,2018,Africa
146,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,2018,Africa
147,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,2018,North America
148,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,2018,Africa
149,150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,2018,Asia
150,151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,2018,Africa
151,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,2018,Asia
152,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2018,Africa
153,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,2018,Africa
154,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018,Africa
155,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018,Africa
156,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,Europe
157,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,Europe
158,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,Europe
159,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,Europe
160,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,Europe
161,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,Europe
162,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,Europe
163,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,Oceania
164,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,North America
165,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,Europe
166,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,Oceania
167,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,North America
168,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019,Asia
169,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,Europe
170,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,Europe
171,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019,Europe
172,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,Europe
173,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,Europe
174,19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019,North America
175,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019,Europe
176,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,Asia
177,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019,Europe
178,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019,North America
179,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,Europe
180,25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019,Asia
181,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,South America
182,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019,North America
183,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,Asia
184,29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019,Asia
185,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019,Europe
186,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019,North America
187,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,South America
188,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019,South America
189,34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019,Asia
190,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019,North America
191,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019,Europe
192,37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019,Asia
193,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019,Europe
194,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019,Asia
195,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019,Europe
196,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019,Asia
197,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019,Europe
198,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,South America
199,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019,Europe
200,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019,North America
201,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019,North America
202,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,South America
203,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019,Europe
204,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019,Asia
205,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019,South America
206,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019,Asia
207,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019,Asia
208,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,Europe
209,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019,Asia
210,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,Europe
211,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019,North America
212,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019,Africa
213,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,Asia
214,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019,North America
215,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019,Asia
216,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,South America
217,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,Europe
218,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,South America
219,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019,Asia
220,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,South America
221,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019,Europe
222,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,Asia
223,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019,Europe
224,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019,Asia
225,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,Europe
226,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019,Europe
227,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,Africa
228,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,Europe
229,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,Asia
230,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,Europe
231,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019,Asia
232,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,North America
233,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,Europe
234,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019,Asia
235,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,Asia
236,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,Europe
237,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2019,Europe
238,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,Asia
239,84,Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019,Europe
240,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019,Africa
241,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019,Asia
242,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019,Asia
243,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,Africa
244,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019,Africa
245,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,Asia
246,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019,Asia
247,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,Asia
248,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,Asia
249,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019,Asia
250,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019,Asia
251,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019,Africa
252,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,Europe
253,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,Africa
254,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019,Africa
255,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,Asia
256,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019,Asia
257,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,Africa
258,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019,Europe
259,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019,Africa
260,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019,Asia
261,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019,Africa
262,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,Europe
263,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019,South America
264,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,Asia
265,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019,Africa
266,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,Africa
267,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,2019,Africa
268,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019,Africa
269,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,Africa
270,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,Africa
271,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019,Asia
272,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019,Asia
273,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019,Africa
274,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019,Asia
275,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019,Africa
276,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019,Africa
277,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019,Africa
278,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2019,Africa
279,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,2019,Africa
280,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019,Asia
281,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019,Asia
282,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,2019,Africa
283,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019,Africa
284,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019,Africa
285,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019,Asia
286,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019,Asia
287,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019,Africa
288,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019,Europe
289,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019,Africa
290,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,2019,Africa
291,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019,Africa
292,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019,Africa
293,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019,Africa
294,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019,Africa
295,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019,Asia
296,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019,Africa
297,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019,Africa
298,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019,Africa
299,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2019,Africa
300,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019,Africa
301,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019,Africa
302,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019,North America
303,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019,Africa
304,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,2019,Asia
305,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019,Africa
306,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,2019,Asia
307,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019,Africa
308,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019,Africa
309,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2019,Asia
310,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,2019,Africa
